ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
468,23/12/2025,300/24,011103060101,2916,ATUN,TROCITOS CON CO DE PORCIONES,B,3/9/2025,3/9/2026,2916,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
469,23/12/2025,300/24,011604071901,2938,ATUN,FAMILY PACK,B,12/9/2025,12/9/2026,2938,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,,
470,23/12/2025,300/24,,3202, ,REVISAR, , , ,3202,, ,,#VALUE!,,,,,,
471,23/12/2025,55/25,011101060101,3776,ATUN,TROCITOS CON CO DE PRODUCCION,A,17/11/2025,17/11/2026,3776,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
472,23/12/2025,55/25,011101060101,3774,ATUN,TROCITOS CON CO DE PRODUCCION,A,17/11/2025,17/11/2026,3774,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
473,23/12/2025,55/25,011101060101,3775,ATUN,TROCITOS CON CO DE PRODUCCION,A,17/11/2025,17/11/2026,3775,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
474,23/12/2025,300/24,011103060101,2940,ATUN,TROCITOS CON CO DE PORCIONES,B,13/9/2025,13/9/2026,2940,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
475,23/12/2025,,,3538,,REVISAR,,,,3538,,,,#DIV/0!,,,,,,
476,23/12/2025,,,2542,,REVISAR,,,,2542,,,,#DIV/0!,,,,,,
477,23/12/2025, ,,3023,,REVISAR,,,,3023,,,,#DIV/0!,,,,,,
478,23/12/2025,300/24,010602060701,1916,ATUN,TROCITOS NATURAL,B,18/11/2024,18/11/2025,1916,SIN TALLA,21,"50,4","2,4",INVFISICO,CAJA LBS LIBRE,3,,16,
479,23/12/2025,300/24,011004073701,3456,ATUN,"PORCIONES SIN PIEL, CON CO",B,13/9/2025,13/9/2026,3456,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
480,23/12/2025,300/24,011004073701,3200,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,3200,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
481,23/12/2025,300/24,011004073701,3454,ATUN,"PORCIONES SIN PIEL, CON CO",B,25/9/2025,25/9/2026,3454,125 gr,100,"30,2","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
482,23/12/2025,300/24,011004073701,3197,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,3197,125 gr,100,"29,4","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
483,23/12/2025,300/24,011004073701,3455,ATUN,"PORCIONES SIN PIEL, CON CO",B,25/9/2025,25/9/2026,3455,125 gr,100,"30,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
484,23/12/2025,300/24,011004073701,3198,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,3198,125 gr,100,"29,4","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
485,23/12/2025,300/24,011004073701,3196,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,3196,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
486,23/12/2025,300/24,011004073701,3199,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,3199,125 gr,100,"29,6","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
487,23/12/2025,300/24,011004073701,3195,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,3195,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
488,23/12/2025,300/24,011004073701,2934,ATUN,"PORCIONES SIN PIEL, CON CO",B,22/9/2025,22/9/2026,2934,125 gr,100,"29,0","0,3",INVFISICO,CAJA LBS LIBRE,3,,16,
489,23/12/2025,19/25,010904060601,2689,ATUN,"LOMO SIN PIEL, CON CO",B,7/7/2025,7/7/2026,2689,8 UP,4,"34,0","8,5",INVFISICO,CAJA LBS LIBRE,3,,7,
490,23/12/2025,,,2445,ATUN,,,,,2445,,,,#DIV/0!,INVFISICO,CAJA LBS LIBRE,3,,14,
491,23/12/2025,300/24,020102010101,2213,LENGUADO,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2213,1 a 2 lb,20,"44,6","2,2",INVFISICO,CAJA LBS LIBRE,3,,17,
492,23/12/2025,300/24,031502010101,2223,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2223,SIN TALLA,25,"35,2","1,4",INVFISICO,CAJA LBS LIBRE,3,,17,
